R_angstrom,method,orbital_index,occupation
1.2,ref,13,0.00198982
1.2,ref,14,0.00093201
1.2,ref,15,0.00070232
1.2,ref,16,0.00053972
1.2,ref,17,0.00008909
1.2,ext,0,1.98128343
1.2,ext,1,1.97338254
1.2,ext,2,1.93534444
1.2,ext,3,0.99351005
1.2,ext,4,0.05793346
1.2,ext,5,0.01749143
1.2,ext,6,0.00931187
1.2,ext,7,0.00768065
1.2,ext,8,0.00471895
1.2,ext,9,0.00416530
1.2,ext,10,0.00373153
1.2,ext,11,0.00372115
1.2,ext,12,0.00347357
1.2,ext,13,0.00198881
1.2,ext,14,0.00093118
1.2,ext,15,0.00070288
1.2,ext,16,0.00053976
1.2,ext,17,0.00008900
1.2,cipsi,0,1.98133232
1.2,cipsi,1,1.97341641
1.2,cipsi,2,1.93534929
1.2,cipsi,3,0.99352281
1.2,cipsi,4,0.05795651
1.2,cipsi,5,0.01747069
1.2,cipsi,6,0.00930356
1.2,cipsi,7,0.00766379
1.2,cipsi,8,0.00470639
1.2,cipsi,9,0.00415048
1.2,cipsi,10,0.00372360
1.2,cipsi,11,0.00370380
1.2,cipsi,12,0.00345826
1.2,cipsi,13,0.00198538
1.2,cipsi,14,0.00093102
1.2,cipsi,15,0.00069833
1.2,cipsi,16,0.00053718
1.2,cipsi,17,0.00009018
1.25,ref,0,1.98114569
1.25,ref,1,1.97333212
1.25,ref,2,1.92584693
1.25,ref,3,0.99349268
1.25,ref,4,0.06768267
1.25,ref,5,0.01754446
1.25,ref,6,0.00924120
1.25,ref,7,0.00766739
1.25,ref,8,0.00463096
1.25,ref,9,0.00408669
1.25,ref,10,0.00372223
1.25,ref,11,0.00371228
1.25,ref,12,0.00339796
1.25,ref,13,0.00223474
1.25,ref,14,0.00096912
1.25,ref,15,0.00067734
1.25,ref,16,0.00052142
1.25,ref,17,0.00009413
1.25,ext,0,1.98115231
1.25,ext,1,1.97334337
1.25,ext,2,1.92593411
1.25,ext,3,0.99349823
1.25,ext,4,0.06759784
1.25,ext,5,0.01753902
1.25,ext,6,0.00923821
1.25,ext,7,0.00766518
1.25,ext,8,0.00462875
1.25,ext,9,0.00408200
1.25,ext,10,0.00372229
1.25,ext,11,0.00371068
1.25,ext,12,0.00339284
1.25,ext,13,0.00223341
1.25,ext,14,0.00096818
1.25,ext,15,0.00067798
1.25,ext,16,0.00052157
1.25,ext,17,0.00009404
1.25,cipsi,0,1.98119863
1.25,cipsi,1,1.97337548
1.25,cipsi,2,1.92591328
1.25,cipsi,3,0.99350839
1.25,cipsi,4,0.06764412
1.25,cipsi,5,0.01752041
1.25,cipsi,6,0.00923001
1.25,cipsi,7,0.00764928
1.25,cipsi,8,0.00461681
1.25,cipsi,9,0.00406767
1.25,cipsi,10,0.00371465
1.25,cipsi,11,0.00369468
1.25,cipsi,12,0.00338025
1.25,cipsi,13,0.00223039
1.25,cipsi,14,0.00096845
1.25,cipsi,15,0.00067336
1.25,cipsi,16,0.00051896
1.25,cipsi,17,0.00009517
1.3,ref,0,1.98102432
1.3,ref,1,1.97333040
1.3,ref,2,1.91467877
1.3,ref,3,0.99349733
1.3,ref,4,0.07909672
1.3,ref,5,0.01755623
1.3,ref,6,0.00916900
1.3,ref,7,0.00763152
1.3,ref,8,0.00453391
1.3,ref,9,0.00401154
1.3,ref,10,0.00371315
1.3,ref,11,0.00370258
1.3,ref,12,0.00332694
1.3,ref,13,0.00249041
1.3,ref,14,0.00099688
1.3,ref,15,0.00064472
1.3,ref,16,0.00049746
1.3,ref,17,0.00009810
1.3,ext,0,1.98103164
1.3,ext,1,1.97334283
1.3,ext,2,1.91480015
1.3,ext,3,0.99350375
1.3,ext,4,0.07897840
1.3,ext,5,0.01755028
1.3,ext,6,0.00916520
1.3,ext,7,0.00762870
1.3,ext,8,0.00453177
1.3,ext,9,0.00400632
1.3,ext,10,0.00371322
1.3,ext,11,0.00370078
1.3,ext,12,0.00332122
1.3,ext,13,0.00248858
1.3,ext,14,0.00099587
1.3,ext,15,0.00064545
1.3,ext,16,0.00049773
1.3,ext,17,0.00009811
1.3,cipsi,0,1.98107256
1.3,cipsi,1,1.97337123
1.3,cipsi,2,1.91474114
1.3,cipsi,3,0.99351291
1.3,cipsi,4,0.07906161
1.3,cipsi,5,0.01753211
1.3,cipsi,6,0.00915719
1.3,cipsi,7,0.00761405
1.3,cipsi,8,0.00451987
1.3,cipsi,9,0.00399770
1.3,cipsi,10,0.00370600
1.3,cipsi,11,0.00368477
1.3,cipsi,12,0.00331168
1.3,cipsi,13,0.00248575
1.3,cipsi,14,0.00099644
1.3,cipsi,15,0.00064066
1.3,cipsi,16,0.00049498
1.3,cipsi,17,0.00009936
1.35,ref,0,1.98091428
1.35,ref,1,1.97336497
1.35,ref,2,1.90152756
1.35,ref,3,0.99351862
1.35,ref,4,0.09248420
1.35,ref,5,0.01753460
1.35,ref,6,0.00909773
1.35,ref,7,0.00757676
1.35,ref,8,0.00443335
1.35,ref,9,0.00394496
1.35,ref,10,0.00370432
1.35,ref,11,0.00369372
1.35,ref,12,0.00326613
1.35,ref,13,0.00274993
1.35,ref,14,0.00101367
1.35,ref,15,0.00060559
1.35,ref,16,0.00046861
1.35,ref,17,0.00010099
1.35,ext,0,1.98092224
1.35,ext,1,1.97337855
1.35,ext,2,1.90169289
1.35,ext,3,0.99352599
1.35,ext,4,0.09232279
1.35,ext,5,0.01752812
1.35,ext,6,0.00909312
1.35,ext,7,0.00757331
1.35,ext,8,0.00443134
1.35,ext,9,0.00393918
1.35,ext,10,0.00370441
1.35,ext,11,0.00369173
1.35,ext,12,0.00325970
1.35,ext,13,0.00274741
1.35,ext,14,0.00101265
1.35,ext,15,0.00060642
1.35,ext,16,0.00046903
1.35,ext,17,0.00010114
1.35,cipsi,0,1.98095834
1.35,cipsi,1,1.97340537
1.35,cipsi,2,1.90159018
1.35,cipsi,3,0.99353510
1.35,cipsi,4,0.09244530
1.35,cipsi,5,0.01751048
1.35,cipsi,6,0.00908635
1.35,cipsi,7,0.00755880
1.35,cipsi,8,0.00442085
1.35,cipsi,9,0.00393230
1.35,cipsi,10,0.00369712
1.35,cipsi,11,0.00367758
1.35,cipsi,12,0.00325276
1.35,cipsi,13,0.00274502
1.35,cipsi,14,0.00101333
1.35,cipsi,15,0.00060200
1.35,cipsi,16,0.00046683
1.35,cipsi,17,0.00010228
1.4,ref,0,1.98081680
1.4,ref,1,1.97343300
1.4,ref,2,1.88614730
1.4,ref,3,0.99355570
1.4,ref,4,0.10808901
1.4,ref,5,0.01748309
