twist_angle_deg,n_configs,cumulative_weight
80.0,2371,99.9999986207
80.0,2401,99.9999988308
80.0,2431,99.9999990143
80.0,2461,99.9999991741
80.0,2491,99.9999993140
80.0,2521,99.9999994339
80.0,2551,99.9999995385
80.0,2581,99.9999996247
80.0,2611,99.9999996984
80.0,2641,99.9999997622
80.0,2671,99.9999998153
80.0,2701,99.9999998581
80.0,2731,99.9999998931
80.0,2761,99.9999999195
80.0,2791,99.9999999410
80.0,2821,99.9999999585
80.0,2851,99.9999999722
80.0,2881,99.9999999830
80.0,2911,99.9999999910
80.0,2941,99.9999999962
80.0,2971,99.9999999989
80.0,3001,100.0000000000
80.0,3003,100.0000000000
90.0,1,56.4543046609
90.0,31,99.3656115277
90.0,61,99.6899116822
90.0,91,99.8581297095
90.0,121,99.9316607813
90.0,151,99.9636328019
90.0,181,99.9782767955
90.0,211,99.9844674599
90.0,241,99.9878550432
90.0,271,99.9900230424
90.0,301,99.9917307390
90.0,331,99.9931093892
90.0,361,99.9941834862
90.0,391,99.9950176933
90.0,421,99.9956723377
90.0,451,99.9962144352
90.0,481,99.9966726871
90.0,511,99.9970746075
90.0,541,99.9974244295
90.0,571,99.9977286770
90.0,601,99.9979905755
90.0,631,99.9982213462
90.0,661,99.9984290224
90.0,691,99.9986171610
90.0,721,99.9987833582
90.0,751,99.9989289515
90.0,781,99.9990562898
90.0,811,99.9991671797
90.0,841,99.9992607905
90.0,871,99.9993432320
90.0,901,99.9994140001
90.0,931,99.9994765615
90.0,961,99.9995327751
90.0,991,99.9995839277
90.0,1021,99.9996276016
90.0,1051,99.9996655233
90.0,1081,99.9996998461
90.0,1111,99.9997307495
90.0,1141,99.9997578891
90.0,1171,99.9997825637
90.0,1201,99.9998046003
90.0,1231,99.9998246261
90.0,1261,99.9998422600
90.0,1291,99.9998578864
90.0,1321,99.9998719690
90.0,1351,99.9998848533
90.0,1381,99.9998966763
90.0,1411,99.9999070633
90.0,1441,99.9999165201
90.0,1471,99.9999250601
90.0,1501,99.9999328191
90.0,1531,99.9999399110
90.0,1561,99.9999464074
90.0,1591,99.9999523528
90.0,1621,99.9999577502
90.0,1651,99.9999626544
90.0,1681,99.9999670410
90.0,1711,99.9999708968
90.0,1741,99.9999743805
90.0,1771,99.9999774691
90.0,1801,99.9999801450
90.0,1831,99.9999825062
90.0,1861,99.9999845942
90.0,1891,99.9999864534
90.0,1921,99.9999881189
90.0,1951,99.9999895599
90.0,1981,99.9999908510
90.0,2011,99.9999920190
90.0,2041,99.9999930457
90.0,2071,99.9999939370
90.0,2101,99.9999947293
90.0,2131,99.9999954293
90.0,2161,99.9999960425
90.0,2191,99.9999965693
90.0,2221,99.9999970138
90.0,2251,99.9999974143
90.0,2281,99.9999977749
90.0,2311,99.9999980924
90.0,2341,99.9999983640
90.0,2371,99.9999985987
90.0,2401,99.9999988077
90.0,2431,99.9999989934
90.0,2461,99.9999991587
90.0,2491,99.9999993009
90.0,2521,99.9999994257
90.0,2551,99.9999995290
90.0,2581,99.9999996173
90.0,2611,99.9999996932
90.0,2641,99.9999997551
90.0,2671,99.9999998076
90.0,2701,99.9999998512
90.0,2731,99.9999998870
90.0,2761,99.9999999159
